Estacao,Data,Hora,Precipitacao
83781,03/10/1961,1200,0
83781,04/10/1961,1200,0
83781,05/10/1961,1200,0
83781,06/10/1961,1200,0
83781,07/10/1961,1200,0
83781,08/10/1961,1200,0
83781,09/10/1961,1200,1.1
83781,10/10/1961,1200,0
83781,11/10/1961,1200,0
83781,12/10/1961,1200,0.8
83781,13/10/1961,1200,3.5
83781,14/10/1961,1200,2.1
83781,15/10/1961,1200,9.2
83781,16/10/1961,1200,14.8
83781,17/10/1961,1200,14.9
83781,18/10/1961,1200,43.2
83781,19/10/1961,1200,0
83781,20/10/1961,1200,0
83781,21/10/1961,1200,0
83781,22/10/1961,1200,0
83781,23/10/1961,1200,1
83781,24/10/1961,1200,0.7
83781,25/10/1961,1200,0
83781,26/10/1961,1200,16.6
83781,27/10/1961,1200,0
83781,28/10/1961,1200,0
83781,29/10/1961,1200,0
83781,30/10/1961,1200,8.1
83781,31/10/1961,1200,62.8
83781,01/11/1961,1200,3.2
83781,02/11/1961,1200,3
83781,03/11/1961,1200,3.3
83781,04/11/1961,1200,26
83781,05/11/1961,1200,0
83781,06/11/1961,1200,0.1
83781,07/11/1961,1200,9.2
83781,08/11/1961,1200,0
83781,09/11/1961,1200,0
83781,10/11/1961,1200,0
83781,11/11/1961,1200,12.7
83781,12/11/1961,1200,5.2
83781,13/11/1961,1200,1.3
83781,14/11/1961,1200,0
83781,15/11/1961,1200,19.7
83781,16/11/1961,1200,0
83781,17/11/1961,1200,0
83781,18/11/1961,1200,0
83781,19/11/1961,1200,0
83781,20/11/1961,1200,5.2
83781,21/11/1961,1200,0.1
83781,22/11/1961,1200,3
83781,23/11/1961,1200,6.7
83781,24/11/1961,1200,1.3
83781,25/11/1961,1200,2.3
83781,26/11/1961,1200,0
83781,27/11/1961,1200,20.4
83781,28/11/1961,1200,2
83781,29/11/1961,1200,0
83781,30/11/1961,1200,0
83781,01/12/1961,1200,0
83781,02/12/1961,1200,2.7
83781,03/12/1961,1200,13.5
83781,04/12/1961,1200,0.8
83781,05/12/1961,1200,0
83781,06/12/1961,1200,0
83781,07/12/1961,1200,0
83781,08/12/1961,1200,2.4
83781,09/12/1961,1200,3.6
83781,10/12/1961,1200,6.1
83781,11/12/1961,1200,50.4
83781,12/12/1961,1200,0
83781,13/12/1961,1200,0
83781,14/12/1961,1200,0
83781,15/12/1961,1200,3.4
83781,16/12/1961,1200,0.4
83781,17/12/1961,1200,4.5
83781,18/12/1961,1200,14.6
83781,19/12/1961,1200,0
83781,20/12/1961,1200,2.4
83781,21/12/1961,1200,1.4
83781,22/12/1961,1200,29.5
83781,23/12/1961,1200,0
83781,24/12/1961,1200,9.2
83781,25/12/1961,1200,0.9
83781,26/12/1961,1200,9.6
83781,27/12/1961,1200,10.9
83781,28/12/1961,1200,0.1
83781,29/12/1961,1200,10.7
83781,30/12/1961,1200,9.3
83781,31/12/1961,1200,0.2
83781,01/01/1962,1200,0
83781,02/01/1962,1200,0
83781,03/01/1962,1200,20.8
83781,04/01/1962,1200,8.9
83781,05/01/1962,1200,0
83781,06/01/1962,1200,0
83781,07/01/1962,1200,0
